post_id	tweet_text	cord_uid	bm25_topk	in_topx
9203	"""Analysis of results are influenced by the constraints of retrospective design and the risk of confounding. optimal dosing for this condition is unclear, nor are the impacts of ivermectin on viral load or in patients with mild disease. """	r76tqrwz	['fub50lvt', 'rp9opdmd', 'ypmeh8y3', 'tc21pcjw', 'l9b3sr4r']	0.0
9204	more exciting d3 news!! vitamin d level is linked to in-hospital death and mechanical ventilation: a group of covid-19 hospitalized patients - sciencedirect	lsfnkpcb	['z2jtzsl6', '2u5zxc2i', 'p3ytwqeg', '4kfbs7j4', 'eknixot2']	0.0
9205	A single point mutation (N501Y) of #covid19 shows robust neutralization with BNT162b2 (Pfizer) sera. Led by PY Shi lab.	35vfjer8	['wt5qxe0j', 'gv7mej7b', 'xi90m4jk', '11xjl53c', 'fquzwsiu']	0.0
9206	"University of Oslo: ""Our study reveals that all-cause mortality remained largely stable during the epidemic compared to the previous 4 years in Norway and Sweden, two countries with distinct strategies. Excess mortality in Sweden is lower than initially thought."""	zu07vbc4	['r4dgrxel', 'zu07vbc4', '6gcahsgs', '0o3wjvpx', 'zv351n3d']	0.5
9207	1 in 5 children tested in #ontario positive for #covid19  #ama #asymptomatic carriers unknown  but also spreading  findings of this study suggest that the identification &amp; isolation of persons with symptomatic #covid_19 alone will not contain ongoing spread	65efipbi	['65efipbi', '5zp3p2g3', '70inem5k', '2f09vauy', 'h9i67wbp']	1.0
9208	"""Epidemic flu"" is a repository disease.  Covid is a repository &amp; vascular disease.   Flu does not cause necrosis in the heart, permanent organ damage, sight or hearing loss or cause strokes in young, previously healthy people."	itvjhlnn	['909kmcwv', 'geo7ac5i', 'qxwjpv40', '3qtxnbb2', 'f2ypnls4']	0.0
9209	"A recent Stanford study, examined 10 countries and reaches the same conclusion:  ""while small benefits cannot be excluded, we do not find substantial benefits on case growth of more restrictive NPIs"""	texmsvyt	['texmsvyt', '2b2evno8', 'fmgj3noh', 'cd7cfpx3', 'bzn7wd36']	1.0
9211	as predicted by covid-19 mendelian randomization studies, and rct of vitamin d supplementation finds no impact on hospitalization outcomes.  although a pre-print, this is the strongest evidence i've seen to date.	cc23zega	['fff0swre', '1mz44ole', 'w50gorzr', '4kfbs7j4', 'zvmwubuk']	0.0
9212	Six months after contracting covid-19 requiring hospitalization, a large percentage of patients report exhaustion and muscle weakness. The health impact of covid-19 is not just about the high number of fatalities it is causing.	28fu4ptm	['l4u01fzk', 't22hwoeb', 'u3ihnglr', '25aj8rj5', 'bqdvx458']	0.0
9214	We specifically evaluated the difference between genetically determined height and measured adult height for each participant, for the first time, clarified the association between childhood asthma and adult height, beyond genetic determinants.	pm2wfblq	['pm2wfblq', 'ubvdzjkw', 'ko9irio2', '49ejyfie', '8rn7q32f']	1.0
9215	"Israeli cohort study involving 196,992 unvaccinated adults found ""no increase in the rate of myocarditis and pericarditis"" after COVID infection."	tij7lakb	['tij7lakb', '8p0xdqba', 'wnlroru3', '1ha9cubv', 'llo64qbp']	1.0
9216	the only thing that i have heard of helping is regular doses of a specific probiotic and boosts your immune system for viral clearance.  and CBDs are also shown to work, helped with my liver condition symptoms... but it wasn't in my head.  or maybe it was, we don't know	o3fyh10z	['a0q61mpi', 'q7pieq3w', 'cdr032lw', 'd8lmft7i', '4cnk76lb']	0.0
9217	"are you saying that virus particles easily pass through HEPA filters? because this has been tested and the filters are not ""mesh""."	rhbqgjnm	['95e1kuux', 'ai60maqz', 'n1ysi7qc', 'dq3qunwe', 'imivfkaj']	0.0
9219	Covid-19 vaccine-related blood clotting has led to vaccine reluctance. Analysis of 792010 vaccinated citizens. No increased risk of blood clotting. Covid-19 vaccination should not be withheld or delayed due to concerns for blood clotting.	wkl3jyzn	['ttpbs13r', 'hfbi7sk5', 'dt7hip0z', 'krg8jvfz', 'dnm7s947']	0.0
9220	"fun fact: ""Vitamin D insufficiency has been associated with the severity and mortality of COVID-19 cases, with a high prevalence of hypovitaminosis D found in patients with COVID-19 and acute respiratory failure"" get your Vitamin D levels checked people."	v53e7anq	['v53e7anq', 'be8eu3qi', 'aizquh16', 'dx2cx9lx', 'wjdif3r3']	1.0
9221	"""The lowest risk was observed in children aged 5-11 without health conditions. In this group, the ICU admission rate was 0.2 per 10,000 and case fatality could not be calculated, due to an absence of cases."""	d5sxycaw	['d5sxycaw', 'xjc0l0tv', 'gi21di4d', 'r1m709hb', 'lf9i6x2i']	1.0
9223	Finally! mast cells are front and centre on efficacy, safety/problems with covid vaccines: potential mechanisms of anaphylaxis to covid-19 mrna vaccines	fm73ly1x	['kqtnv5kd', '2j11uxmx', '25aj8rj5', '4pyx0xps', 'fm73ly1x']	0.2
9224	fmri was performed on individuals before &amp; after covid infection.  findings: a greater reduction in global brain size w/ participants showing cognitive decline. they weren’t hospitalized.  again, wear a mask  we don’t know the long term effects of covid	ny7wkswf	['25aj8rj5', '4pyx0xps', 'ny7wkswf', 'd6qr2abi', 'axxo94cr']	0.3333333333333333
9225	According to this recent Chinese study, the coronavirus is designed to attach to lung receptors that are 5x more prevalent in Asian males than in African or Caucasian males. Asian females have less than half the quantity of these receptors than Asian males.	4pgish5x	['okabnt0t', 'm0zvo2tq', 'uom5r1pf', '6bwd99d9', 'awb1stsr']	0.0
9226	#coronavirus, studies show that sars or mers viruses can linger on inanimate surfaces like for up to 9 days, but can be effectively neutralized by surface disinfection procedures with ethanol, hydrogen peroxide or sodium hypochlorite within 1 minute.	k9xhphpl	['k9xhphpl', '80dfqjql', 'jj2u35z4', '3ss714ha', 'wnlse824']	1.0
9227	the proportion of tests positive for human coronaviruses (hcovs) -oc43, -nl63, -229e, and -hku1 reported to the national respiratory and enteric viruses surveillance system (nrevss) by week, stratified by us census region, july 2014–june 2017.	hcfoj5l1	['hcfoj5l1', 'muufs0c9', '7e8btgoo', '3qgwoblb', '09vzcqyr']	1.0
9228	The pathology of superstition and anxiety. The notion that face masks have zero cost to the wearer or other individuals has been, as suspected, false. While the repercussions have been underrated, their efficacy has been overestimated.	mkgszhkk	['xtraspw2', '3h80bn0k', 'knbngla3', '8iqs6jko', 'ohkki0ke']	0.0
9229	another study shows preventive value of you-know-what.  now recall that ⁦⁩ did not even consider prophylactic studies, which collectively reduce by order of 85%. saves frontline workers. that should count.	1ov3eydq	['1ov3eydq', '73oe5as9', 'lzwgyzdp', '0vjxc1bm', 'd06npvro']	1.0
9230	"""The data indicate that both medical and non-medical facemasks are ineffective to prevent human-to-human transmission of viral and infectious diseases such as SARS-CoV-2 and COVID-19, contradicting the usage of facemasks."""	mkgszhkk	['mkgszhkk', 'isniqv6b', 'ra2njvcz', '9e3mxt1a', 'ewm8j8hg']	1.0
9231	Asymptomatics don't spread the virus, they develop immunity!! 97% of symptomatic and asymptomatic patients developed T cell immunity!! Diagnosis and tracking of past SARS-CoV-2 infection in a large study of people, Italy.	6zfpcm4j	['6zfpcm4j', 'li8kvzdh', 'eml8uilb', '2scp98u0', '3urmf3ie']	1.0
9232	spoiler alert: coverings don’t work and are ultimately  harmful.  #factsnotfear	mkgszhkk	['e4xw6gyp', 'a0q61mpi', '9gn4jcu9', '0yysikc1', 'jgq968f6']	0.0
9233	more evidence lockdowns harm and authorities are foolish  sedentary people 2.5x more likely to die from covid than people maintaining regular physical activity   you have been deceived	ufk458to	['fnts8nhc', '25aj8rj5', 'orajfobs', 'c3v7rf1m', '2ax0z8r6']	0.0
9234	the data is clear: lockdowns don't function. we can achieve the same results with less-restrictive interventions that don't subject canadians to the worst effects of social confinement and destroy our small businesses. it's time to #liftthelockdown #onpoli	texmsvyt	['jbpmbm9m', 'sb9ckivs', '54jnv4ki', '6lsl7ahj', '2q6qmex3']	0.0
9235	Bad news for mask enthusiasts. Masks don’t shield against COVID, and they aren’t beneficial for you.	mkgszhkk	['64qt0w2a', 'lr20prun', 'w0ebmg16', 'umvrwgaw', 'w1bx4a7v']	0.0
9236	A data-driven approach with regard to wearing facemasks, when the latter is considered as preventive intervention for public health.	mkgszhkk	['5g70w76j', '30pl5tx3', '79m3sdfe', 'mkgszhkk', '1hobsclz']	0.25
9237	Stanford masking study: doesn't stop covid and has other negative effects:	mkgszhkk	['25aj8rj5', '8b0bjxdt', '4pyx0xps', '80yu5aiv', 'db8fl9d2']	0.0
9238	required reading: those with children got less severe covid and died less often. the children are likely variolation machines. open the rest of the schools.	z79gel8h	['bcrawfx3', 's1gdbsfx', '9rczqcaz', '6ukt0gbn', 'wtxhbzr9']	0.0
9239	"""ventilation, cardiopulmonary exercise capacity & comfort are reduced by surgical masks & severely impaired by ffp2/n95 face masks in healthy individuals. these findings are crucial for guidelines on wearing face masks at work or during physical activity"""	ygvg9jfe	['ygvg9jfe', '9gn4jcu9', 'w2c01295', 'itxde5mw', 'ktjhr028']	1.0
9240	"""Evaluating various scenarios for the infectious period and the proportion of transmission from people who never experience Covid-19 symptoms, transmission from asymptomatic individuals was estimated to account for more than half of all transmission."""	65efipbi	['65efipbi', '121p2shq', 'c5be70t6', '2f09vauy', 'jjgfgqwg']	1.0
9241	Study of face coverings and findings that they don't halt the virus. essentially you're harming yourself by limiting your oxygen intake and inhaling your own co2 (hypoxia). it's a good read.  have a great day	mkgszhkk	['a0q61mpi', '1cpjqav4', 'r58aohnu', '79m3sdfe', 'f4jx3b2q']	0.0
9242	how are young adults in pakistan coping with covid-19: an online survey evaluating the effect of demographic factors and sources of information on knowledge and actions #covid	ntxufeg5	['ntxufeg5', '79m3sdfe', 'apx6a4yb', 'ca3h96bx', 'mqu6d8sp']	1.0
9244	preprint (usual caveats apply) study of L452R mutation (1 of the mutations found on Indian B.1.617 variant). of concern: L452R⬇️spike protein susceptibility to neutralizing antibodies elicited by vaccination or prior infection. also probably more transmissible.	entkqcn3	['ybcr7clp', 'rytw6rfd', 'wbso4fci', 'entkqcn3', 'lhx0it2z']	0.25
9245	You also have to account for how else public health measures might have boosted mortality. A good example is the delay in diagnosis and treatment of cancer patients:	4fgeb27a	['t0s5ufzv', 'uppeztta', '0qyhjutm', 'yc7cvbii', 'vdejfuuy']	0.0
9246	Our latest technique to identify COVID variants is now available! Here we outline the capacity to detect B.1.617 along with mutations present in the other significant VOC: B.1.351, P.1, B.1.429/B.1.427, B.1.526, and B.1.525.	r5nzz1j0	['nrhk8ctf', 'ho78ojxc', 'k4ubol2x', 'a4klrp3h', '8vdknrdv']	0.0
9247	Facial coverings in the covid-19 era: a health hypothesis. Bottom line: masks are not effective for many reasons	mkgszhkk	['wn98fql3', 'ohkki0ke', 'g57r3son', 'bmmdygbs', 'h7ftu3ax']	0.0
9248	🆕💥💥 Review study the role of procalcitonin in antibiotic decision-making in #covid19 infection pct may be abnormal in covid-19 patients without bacteraemia and may result in receipt of unnecessary antibiotics	cx1qdfmf	['cx1qdfmf', 'ckx6wxxk', 'yremzay9', 'tfnk5r0t', '6gb1za5h']	1.0
9249	9/ ⭐️ an immune system that is activated by acute covid and then doesn’t recover? ➡️leading to inflammation in multiple organs. there are lots of papers showing increased levels of cytokines and other immune cells long after acute covid.	122yi9np	['p7cbnrji', '25aj8rj5', 'io6f6z3l', 'ezrmuw48', 'yxe19kwe']	0.0
9250	2. loading up on zinc/ vit c / vit d won't do any harm unless you take enormous quantities of it. but it doesn't do anything to prevent or treat covid-19.	mo1bj909	['gk3wr6s1', 'h7vqmlq9', 'mlrq0rjf', 'jkm496ip', 'lbyvgqp2']	0.0
9251	#stoptheshots an israeli study reveals no rise in myocarditis among unvaccinated individuals who contract covid naturally. the vaccinations are causing most of the reported cases.	tij7lakb	['sgo76prc', 'dksw5yzp', 'x11ntaqf', '35nshnn2', '5lqjmqu5']	0.0
9252	to omicron's >32 mutations across its spike protein, immune responses from the Covaxin vaccine continued to neutralize the omicron variant effectively (why? because Covaxin shows you the whole virus with neutralizing antibodies all over, not just the spike.	2bzq2ayq	['2bzq2ayq', 'iw3wv973', '0r3l3b88', '7bhue8w5', 'pbb9nrba']	1.0
9253	"""The entire, intact mRNA molecule is crucial to its effectiveness as a vaccine… even a slight degradation reaction, anywhere along the mRNA strand, can significantly impede or halt proper translation performance of that strand"""	g5sw7t8x	['eomtjrgc', 'wqqt6jvk', 'h4sbz3md', '52lf5gzr', 'os0sslxc']	0.0
9254	"Cochrane review: ""use of a N95/P2 respirator compared to a surgical mask probably makes little or no difference for the objective and more precise outcome of laboratory-confirmed flu infection."""	dhd9e9bn	['dhd9e9bn', '7zdi0y2s', 'upiu3e2d', 'e0pz0z4j', 'y43prnko']	1.0
9255	prime and jab! an intranasal jab vaccine booster elicits robust protective mucosal immunity against covid! protects against infection and transmission. very promising. 🙂	mqzus147	['mqzus147', 'wa4gt5sy', 'j4pgpxoe', 'pmd78j61', 'nmrxjal1']	1.0
9256	"Research on COVID mortality for various susceptible populations is becoming more prevalent. ""Total of 1670 patients (496 functional KT and 1174 HD) were included; 16.9% of KT and 23.9% of HD patients died within 28 days of presentation"""	hphb36km	['hphb36km', 'and9sood', 'rhgl6vss', 'jtjurjpc', '55wqowbq']	1.0
9258	since there is no link between nicotine vaping and sars-cov-2 infection or #covid19, what's she talking about?  is she spreading false information?  no shortage of that in this space.	jfjxujwj	['cv7tb3u1', 'ug2ka6ia', 'qt3kk30m', 'bjjfxfei', 'l30ey4fx']	0.0
9259	omicron persists longer on skin and surfaces than previous strains differences in environmental durability among sars-cov-2 variants of concern: omicron has higher durability | biorxiv	04vbjlab	['04vbjlab', '0r3l3b88', '6a6tyvtz', 'dlwfu274', 'j5vhny44']	1.0
9261	"#covid19 ""using two HEPA air purifiers close to the airborne source reduced the airborne exposure of the uninfected participants &amp; speaker by up to 65% … as effective as vaccines, but with no waning &amp; no risk from new variants"""	dq3qunwe	['dq3qunwe', '95e1kuux', '3fiqpart', 'w0ebmg16', '5nv3ec5l']	1.0
9262	Hyperimmune immunoglobulin for hospitalised patients with COVID-19 (ITAC): a double-blind, RCT by #insight. Hizentra causes harm if pt produces endogenous antibodies but may benefit if not. Congratulations to team.	f72i7wxu	['f72i7wxu', 'yjqt74q0', 'ix4zo0ha', 'cv5th7hd', 'pavd7sj3']	1.0
9263	"""Utilizing two HEPA air purifiers decreased the aerosol exposure of the uninfected participants &amp; speaker by up to 65%”  *as effective as vaccines, but with no decline &amp; no risk from new strains  *low tech, low cost, &amp; future proofed"	dq3qunwe	['dq3qunwe', '95e1kuux', 'gu4mz2vp', '1r9975o8', '2bupc5jh']	1.0
9264	how did covid-19 impact the mental wellbeing of autistic individuals in 2020? really fascinating to have contributed to this and have seen so many experiences i could relate to from other autistic people throughout the process!	lr5lumdr	['lr5lumdr', 'ssskg86y', '7tqxng6p', 'jcqce7jo', 'w2kxqkkf']	1.0
9265	Based on passive surveillance reporting in the US, the likelihood of myocarditis after receiving mRNA-based COVID-19 vaccines was elevated across various age and sex categories and was highest after the second vaccination dose in adolescent males and young men.	g0cgjlok	['g0cgjlok', 'qlejjw9s', 'x0kcrmol', 'ofbnzo6n', 'dti9o5x3']	1.0
9266	“outcomes of hospitalizations following (AstraZeneca) vaccination included death (15%), transfer to postacute care (17%), and discharge home (68%)… the diagnosis of TTS can be challenging.”	l07q84ni	['l07q84ni', '59xux3di', 'zr4pw0e7', '07cica09', 'e9m31jyc']	1.0
9267	Melatonin biosynthesis pathways in ecosystems and its production in genetically engineered microbes.	uy1xibll	['uy1xibll', '059oj76m', 'qh59uqx4', 'y0qrxya9', 'awpwbcwt']	1.0
9268	Trends in disease severity and healthcare use during the initial omicron variant period compared with earlier SARS-CoV-2 high transmission periods — United States, December 2020–January 2022	g0g84bqy	['g0g84bqy', '8i9xwogu', '0m76qrz8', 'cfd1x420', 'ovuh3qoh']	1.0
9269	no, but it knows the formula for becoming more deadly with each passage in a mouse model.  in one study, a sars-corona virus killed all mice it infected after 15 passages.  i know of no study showing reduced virulence with increasing passages for covid:	mqnqjn0c	['mqnqjn0c', 'lghvztz8', '5ax78ysz', 'hb2lieh3', 'v9y1iw3o']	1.0
9270	"an estimated 114,500 people with #longcovid in the adult population here. there is no data available for our children whose developing brains might be susceptible to this ""mild omicron variant"" it's not cold &amp; can damage neurons irreversibly #longcovidkids"	x7qlnugx	['lkb09vs8', '2tax8ajw', 'rp6se99d', '6lsl7ahj', 'kfohrmhl']	0.0
9271	You realize that the danger from covid is higher than the danger from the vaccine, right?	urj0nssb	['vpih1wvs', 'vw9jd88a', 'xee6npr3', '3mfwweyr', 'y442ugst']	0.0
9273	the global case-fatality rate of covid-19 has been dropping unevenly between top vaccinated countries and the rest of the world	p576v9du	['p576v9du', 'mmr04tsm', 'ef4wyw2f', 'jmhexmet', 'y6jrt5xh']	1.0
9274	now live!  a blood atlas of covid-19 defines hallmarks of disease severity and specificity	n5bnpzj6	['n5bnpzj6', 'f0wzxv39', '25aj8rj5', 'zo8stuvh', 'l4u01fzk']	1.0
9275	if you take the 💉, your body makes spike protein that was designed to replicate the spike of the pathogen.  your body responds the same way to the 💉or the pathogen.  many people believe (because of media) that the pathogen is deadly but the 💉is harmless.  no!	y3jx6fvj	['y8puocsa', 'rr0v0ju1', 'l2ak5ygj', 'hgpiig0g', 'aifv23fw']	0.0
9276	Sars-cov2 covid at least temporarily causes lymphocytopenia (including T cells) immune suppression. The virus has been found to infect CD8 T cells. HIV/AIDS is typically defined by CD4 T cell destruction. This study found covid infected CD8 T cells.	0iy8clcm	['2sb905jt', '1t78tt1s', 'jbmzvljk', 'nmrxjal1', 'vge26qe9']	0.0
9277	A comprehensive meta-analysis of existing studies indicates #longcovidkids is not uncommon | various symptoms ~ clinical indicators identified, many of which overlap with those in adults | pre-print | limitation: study based on review of prior research   h/t	wqu8dm15	['v2981aa6', '35xqlryc', 'uo3ww8j4', 'vq9m9m94', 'btao9cun']	0.0
9279	Fig. 3 demonstrates that face coverings in schools correlate with a lower risk of covid-19-related consequences. Additional measures also contribute (but not desk barriers), and the more the better.	qhrwngde	['iu4p5k0w', 'ordof7g5', 'l2i3aa3k', 'a0q61mpi', 'cg6v3yma']	0.0
9280	Investigators using the gold standard bronchoscopic assessment find only 21% of patients with SARS-CoV-2 pneumonia have bacterial co-infection when intubated but ~45% develop VAP.	jlr943nv	['jlr943nv', 'xl0zb9zj', '1igydu3y', 'e8mk04uf', 'ybxuykpz']	1.0
9281	an instance of quite frightening side effects from the vaccine  (very disturbing images)	x5m6u9pg	['12yshnt5', 'aekhd3tb', 'efxn3pr6', '855atuue', '353wr671']	0.0
9282	"""outbreaks of covid-19 can occur among hockey players and adult coaches and parents, but the transmission appears to be more likely off the rink in areas of congestion, such as lobbies, locker rooms and lines."""	nji5ek3q	['nji5ek3q', 'otfb69ft', 'vtxzcx3n', 'od5nnxvg', '8acldtv2']	1.0
9283	2/ in a any health dept study of 10 million ny residents were against hospitalization remained &gt;90% in may to july 21 when delta comprised 80% of infections	1992wisb	['utak6i4e', '4ylt5rhg', 'yuw7dvcn', 'ro3k6q06', '02p4et0u']	0.0
9284	Commercially available off-the-shelf video games for reducing stress and anxiety: systematic review	q1845sep	['q1845sep', 'mb6twucg', '3udfl0a2', 'jtn3y35w', '1xqsmtcu']	1.0
9285	Microscopic particles we emit come in a range of sizes.  research by now shows that small droplets—ones that float in air and can travel far—carry infectious sars-cov-2.  sars-cov-2 is #airborne. stopping it requires droplet prevention measures.	cv5jhuc8	['svi7syld', 'yt7uqvno', 'jjiiutd5', '95e1kuux', 'm8dg6l11']	0.0
9286	"Study evaluating treatment with various combos: azithromycin, hcq, ivermectin, &amp; nitazoxanide  ""subjects with early covid-19 treated with two-to-four drug combinations showed significant improvements compared to untreated patients."""	iali360u	['ivxvry3u', 'iali360u', '2lk2vm5r', 'embn75dc', 'r76tqrwz']	0.5
9288	Here's a study based in Kentucky. discovered that individuals who had COVID-19 and then vaccinated were 2.3 times less likely to be reinfected.	ijzoa0yn	['vxv7pq8v', 'ju87prqm', 'q473xazz', 'qh6fqna8', '9kfs73sr']	0.0
9289	autoantibodies neutralizing type I interferons are present in ~4% of uninfected individuals over 70 years old and account for ~20% of #covid19 deaths - great to see  the team part of this!	leokcqqy	['leokcqqy', '1b5hb0g9', 'nmmayjcp', '43ocdbp5', '2cwvga0k']	1.0
9290	the effects of lockdowns and face coverings proven in children:  “we find that children born during the pandemic have significantly reduced verbal, motor, and overall cognitive performance compared to children born pre-pandemic.”	6hehg1yf	['6hehg1yf', 'heegb7pp', 'msb6wgnv', 'lsiy3quw', 'mqu6d8sp']	1.0
9291	the bnt162b2 mrna vaccine against sars-cov-2 reconfigures both adaptive and innate immune responses | medrxiv	djev6er7	['djev6er7', 'jpby8m6r', 'rrykpl0f', 'ksf2tpdw', '5xzn2myj']	1.0
9293	"""The first 12 US cases of CVST with thrombocytopenia following Ad26.COV2.S vaccination signify severe occurrences."""	1daa6fte	['1daa6fte', 'l07q84ni', 'xthxesgk', 'ywi0a8s1', 'uhtwkkk3']	1.0
9294	for those too uninformed to understand the risks of improperly conducted covid swabs in youth...	1aruw47h	['4ttda53p', '4pyx0xps', '25aj8rj5', 'lt7qsxxh', 'x0cs571f']	0.0
9295	"""Booster shots could weaken immunity against future variants: 'results suggest that booster immunization with the second dose of the 3 vaccines, might reduce the reactivity of the antibodies with emerging forms of sars-cov-2'"""	maqo773b	['f60z8jo2', 'ksvw62gl', '8lnjbxe5', 'ypqusgs3', '4iuxm6z2']	0.0
9296	Ten canines were trained to identify sars-cov-2 infections in inactivated saliva samples. the detection of non-inactivated samples was tested on saliva, urine, and perspiration. all tested bodily fluids functioned well. #scentdog	yrdzg7wz	['yrdzg7wz', 'nctlqbtf', 'y8i60bm3', '6lz0kjen', 'scc9wee0']	1.0
9297	Wearing a mask when you come into contact with an infected person lowers your risk of infection.	mcmqx7og	['mcmqx7og', 'u7ao9dwx', 'hgpiig0g', 'l8zfuhzk', '0yysikc1']	1.0
9298	"""The anticipated outcome of ade for viral infection would be an *elevated viral load*, most likely caused by infection of a greater number of susceptible cells."""	q4zuslmp	['awn23o8y', 'xu6t5kwz', 'jp3pijw2', 'ge8o93rh', 'b3ui95vx']	0.0
9299	A comprehensive study of vaccine protection in Ontario's 2nd wave reveals the mRNA vaccines provided 98% protection against hospital admission and death ≥ 7 days after 2 doses, with 91% protection against symptomatic infection.  Kudos to them and the team.	l57v4wnr	['l57v4wnr', '6a6tyvtz', 'mmr04tsm', 'mviiowbw', 'y349r3r6']	1.0
9301	"""ivermectin is likely to be a fair, acceptable, and practical global intervention against covid-19. healthcare professionals should strongly consider its use, in both treatment and prevention."""	1l4o9pko	['gk3wr6s1', 'ls4qfvwq', '6gcgzx36', 'eyxag4xd', 'hcuxj2k7']	0.0
9302	"""Sustainability relies on equity... only a global, affluent minority is currently and historically responsible for most carbon emissions. We need a swift, equitable, urgent shift to a postgrowth economy."""	b4mjo92p	['dobxp4uy', 'cj7izin2', 's2811lpo', 'dyxfsojh', 'umyojne2']	0.0
9303	Further evidence suggests biomarkers could play a significant role in prehospital stroke care. A new combination of blood biomarkers and clinical stroke scales aids in identifying large vessel occlusion ischemic strokes.	zo8stuvh	['zo8stuvh', '7h4x679r', '0tfunzw8', '2hzq5o0v', 'mxfub1b6']	1.0
9304	6/However, our inability to control the pandemic gives the virus more opportunities to acquire more mutations and potentially evade vaccines. h/t 6/6	ksveiiid	['2t1zzigc', 'j81mq3nr', '80t2ovkk', 'z795y51f', 'zydm23pf']	0.0
9305	#covid19 variant of concern b.1.1.7 2nd modelling study using 4 lines of evidence that the new variant is 50% more infectious. am i so outdated that i would like to see a single epidemiology study that household transmission is really higher?	5sx04n3x	['eomtjrgc', 'y9fqa20z', 'h4sbz3md', 'ii0ceksc', '9rczqcaz']	0.0
9306	just published, the complete analysis of il-6 receptor blockers in severely ill patients with #covid-19. on top of steroids 8% absolute improvement in d21 survival!	xh723tgl	['aq2iz9tq', 'tah4bpj1', 'utgnwox8', 'qpnofgry', 'kkskmuw3']	0.0
9307	"""Our analysis reveals that although infection rates dropped, they did so prior to lockdown being effective, and infection figures also decreased in neighboring municipalities without restrictions."""	ex6dyr77	['ex6dyr77', 'hs9vv2gh', '06yuz5pn', '6cx33se3', 'r4j1rcm5']	1.0
9308	"""Our pilot study showed that giving a high dose of calcifediol or 25-hydroxyvitamin D, a key metabolite of the vitamin D system, greatly lowered ICU care for patients needing hospitalization due to confirmed COVID-19"""	nnkul2r2	['nnkul2r2', '8s7zy55f', '9tvjfgtn', '70bz9l9p', 'p3ytwqeg']	1.0
9309	The rising test positivity among workers in the hospitality and public transport sectors, driving instructors, hairdressers and aestheticians has implications not only for these professionals, but also for everyone who uses these services.	r76msx6y	['r76msx6y', 'iv3kps2i', 'xtmn1n0r', 'kzgw7qx3', 'ex6ktyl6']	1.0
9310	the q is what is incremental gain of lockdown vs traditional mitigation.   if lockdowns don’t achieve materially more than traditional mitigation, then they work only in the sense antibiotics + rest “work” to treat a cold.	texmsvyt	['zc10b6j5', 'qcxpmfmq', 'adusu6pm', 'pr97f4yf', 'snlukr6c']	0.0
9311	#covid19 is often overlooked globally as an equally urgent crisis in Africa as everywhere else, we continue to make the same errors of confusing a lack of testing for a lack of cases.	v60ydkm6	['v67s4yz9', 'gqifyp7g', '89x5h0w6', 'g9ao6ruo', '0ya8qvka']	0.0
9312	"""fresh off the press in jco, cost effectiveness of frontline daratumumab among older adults with mm. icer $618,018 per qaly. time for value based pricing in the us? work led by ms3 kishan patel,"""	6bnj8pcp	['6bnj8pcp', '7objlrqa', '3nrzupz3', '3d74ihpp', 'qemhdkz7']	1.0
9313	wow. a new cdc report finds that counties with large universities who had in-person fall semesters saw a 56% spike in covid cases, while counties where colleges were online saw an 18% decrease.	79niee4r	['79niee4r', 'mkl7rvr6', 'hs9vv2gh', 'toj6eqs2', 'oijl3pjt']	1.0
9314	seanyoungphd:. study suggests shortening isolation time of student athletes, as this might boost adherence.  my opinion:shortening isolation by a few days won't make a significant difference in whether students comply keep isolation guideline as i…	34y9fx51	['ex3s7ytv', 'cp6xu2ox', 'vnta2gic', 'ticmj3x6', '34y9fx51']	0.2
9315	and company mapped out the UK COVID outbreak. High travel volume and absence of restrictions on international arrivals led to >1000 UK transmission lineages in the first wave = accelerated epidemic growth that exceeded contact tracing capacity.	kokfufba	['b4yj7vw0', 'kokfufba', 'vrixi8sq', 'bxuwx1jj', 'pq75mafr']	0.5
9316	"pre-print: transmission risk of immunized &amp; unimmunized people with delta infection in a federal prison.  conclusion: we ""should consider immunized persons who become infected with sars-cov-2 to be no less infectious than unimmunized persons."""	52jtd51o	['52jtd51o', 'sgo76prc', 'ngzjvjlj', '35nshnn2', '121p2shq']	1.0
9317	A preprint by Michael Simon et al shows that COVID vaccines administered before or after infection can decrease incidence of #longcovid, based on a retrospective analysis of the health record of 240,648 COVID-19-infected people. 🧵(1/)	9kfs73sr	['9kfs73sr', 'f96qs295', 'prqrsb3c', 'gha1wg4w', 'l72grjbg']	1.0
9318	a study by stanford’s dr. bendavid finds “no clear, significant beneficial effect” of #lockdowns on #covid case growth in any country. seems like the “evidence” behind the sledgehammer was rubbish. “evidence” in the hands of politicians = massive damage.	texmsvyt	['texmsvyt', 'fx2oly7c', 'l1c7xa8d', 'rm0zbgfm', 'te5qq8nd']	1.0
9319	"""#covid19 pneumonia appears w/ chest ct abnormalities, even in asymptomatic individuals, w/ rapid progression from focal unilateral to diffuse bilateral...in 1–3 weeks. combining imaging features w/ clinical+lab results could facilitate early diagnosis."""	ghi0ekm5	['ghi0ekm5', 'zbzrxuoh', 'rhto8dpf', 'zkxrjk3p', 'iff8cuum']	1.0
9320	to those attending patients with suspected covid-19. radiological findings in patients with covid-19 pneumonia: predominant pattern of abnormality was bilateral 79%, peripheral 54%, ill-defined 81%, and diffuse ground-glass opacification 65%.	ghi0ekm5	['ghi0ekm5', 'ohyvuybc', '2oi5km6u', '1pg77f6t', 'cwreauh8']	1.0
